epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,613.86,0.59845,0.47736,0.84763,0.97785,0.91559,0.9504,0.82938,0.59655,0.62006,0.84616,0.000848969,0.000848969,0.000848969
43,628.399,0.56292,0.45541,0.8417,0.95772,0.943,0.96952,0.85653,0.52824,0.45651,0.82413,0.000834822,0.000834822,0.000834822
44,643.24,0.58467,0.46231,0.84455,0.98158,0.92845,0.95767,0.83274,0.61263,0.5323,0.83988,0.000820675,0.000820675,0.000820675
45,657.967,0.58258,0.45761,0.84187,0.9688,0.94818,0.97822,0.87644,0.52422,0.41758,0.82538,0.000806528,0.000806528,0.000806528
46,672.763,0.54765,0.43773,0.83773,0.97304,0.94905,0.97803,0.87009,0.52917,0.43238,0.82982,0.00079238,0.00079238,0.00079238
47,687.704,0.5668,0.45958,0.83671,0.9828,0.93973,0.97439,0.88402,0.50982,0.42833,0.82851,0.000778233,0.000778233,0.000778233
48,702.741,0.57033,0.45323,0.83775,0.98142,0.93874,0.97906,0.8668,0.50524,0.42066,0.82832,0.000764086,0.000764086,0.000764086
49,720.318,0.55632,0.43941,0.83843,0.97646,0.94795,0.97894,0.88372,0.48889,0.4057,0.82281,0.000749939,0.000749939,0.000749939
50,739.549,0.55148,0.44418,0.83767,0.97754,0.93896,0.97109,0.87964,0.46646,0.39281,0.82114,0.000735792,0.000735792,0.000735792
51,755.848,0.55648,0.43858,0.8335,0.98333,0.93514,0.97586,0.87186,0.51187,0.42143,0.82489,0.000721645,0.000721645,0.000721645
52,772.656,0.53898,0.42755,0.83286,0.98278,0.93731,0.97464,0.88183,0.48004,0.40251,0.82417,0.000707498,0.000707498,0.000707498
53,789.486,0.54562,0.41891,0.83736,0.99018,0.93217,0.97237,0.85725,0.49776,0.42945,0.82436,0.000693351,0.000693351,0.000693351
54,805.929,0.54312,0.42566,0.841,0.95673,0.9477,0.97762,0.88602,0.46094,0.40339,0.81971,0.000679204,0.000679204,0.000679204
55,822.334,0.53719,0.41378,0.83504,0.97713,0.93582,0.97036,0.86559,0.50614,0.429,0.8234,0.000665057,0.000665057,0.000665057
56,839.073,0.5286,0.40942,0.83383,0.98047,0.93337,0.96943,0.87138,0.48423,0.41757,0.82457,0.000650909,0.000650909,0.000650909
57,855.132,0.5546,0.43644,0.83929,0.96566,0.953,0.97657,0.88202,0.4844,0.39875,0.8197,0.000636762,0.000636762,0.000636762
58,870.873,0.53594,0.41611,0.83689,0.98091,0.92739,0.97133,0.87217,0.49891,0.41785,0.82471,0.000622615,0.000622615,0.000622615
59,886.915,0.53945,0.41334,0.83402,0.97653,0.94294,0.97863,0.8701,0.50472,0.39359,0.81929,0.000608468,0.000608468,0.000608468
60,902.791,0.54461,0.41999,0.83763,0.97887,0.94361,0.97687,0.88774,0.46575,0.39048,0.81652,0.000594321,0.000594321,0.000594321
61,918.624,0.52452,0.4142,0.83652,0.97894,0.93842,0.97695,0.87653,0.48305,0.40762,0.82542,0.000580174,0.000580174,0.000580174
62,934.665,0.53725,0.41204,0.8338,0.97367,0.94594,0.97413,0.87067,0.50042,0.38661,0.82082,0.000566027,0.000566027,0.000566027
63,950.543,0.55138,0.41189,0.8313,0.97325,0.94592,0.97556,0.87308,0.47303,0.37986,0.81925,0.00055188,0.00055188,0.00055188
64,966.567,0.52621,0.39756,0.8374,0.9626,0.94515,0.96908,0.88223,0.48128,0.41087,0.81975,0.000537733,0.000537733,0.000537733
65,982.032,0.51411,0.3939,0.83365,0.96479,0.94795,0.97384,0.89085,0.46717,0.39018,0.82068,0.000523586,0.000523586,0.000523586
66,997.568,0.52641,0.39123,0.82998,0.96248,0.95021,0.97535,0.88612,0.45667,0.38185,0.81584,0.000509438,0.000509438,0.000509438
67,1013.66,0.55259,0.41178,0.83608,0.97846,0.93736,0.97017,0.86466,0.5089,0.41543,0.82037,0.000495291,0.000495291,0.000495291
68,1029.93,0.51018,0.38101,0.83062,0.97737,0.93604,0.96071,0.87937,0.44713,0.3999,0.81824,0.000481144,0.000481144,0.000481144
69,1046.34,0.50284,0.38348,0.82663,0.96757,0.94852,0.9753,0.86993,0.48072,0.38112,0.82185,0.000466997,0.000466997,0.000466997
70,1063.14,0.51967,0.38997,0.82969,0.97789,0.91787,0.96498,0.85702,0.4966,0.44377,0.81852,0.00045285,0.00045285,0.00045285
71,1079.44,0.50494,0.38124,0.83406,0.97841,0.94515,0.97575,0.88897,0.44924,0.37807,0.81479,0.000438703,0.000438703,0.000438703
72,1095.53,0.50731,0.38559,0.82955,0.97662,0.94515,0.97543,0.89366,0.46571,0.39466,0.81689,0.000424556,0.000424556,0.000424556
73,1111.28,0.5021,0.38244,0.83443,0.98579,0.93207,0.97386,0.88694,0.46231,0.38915,0.81875,0.000410409,0.000410409,0.000410409
74,1127.64,0.50141,0.38123,0.82617,0.9749,0.94852,0.9806,0.88921,0.44872,0.37165,0.81601,0.000396262,0.000396262,0.000396262
75,1144.39,0.50315,0.37834,0.82476,0.96875,0.94686,0.97164,0.87256,0.49534,0.40333,0.82138,0.000382115,0.000382115,0.000382115
76,1160.45,0.4878,0.37257,0.82108,0.97504,0.94513,0.9725,0.87735,0.46769,0.392,0.81756,0.000367967,0.000367967,0.000367967
77,1176.45,0.49831,0.37263,0.82545,0.97819,0.9401,0.97624,0.88848,0.45591,0.38356,0.81221,0.00035382,0.00035382,0.00035382
